,Name,Industry,Sector,Headquarters,Founded,Notes
335,Tata Advanced Systems,Industrials,Aerospace & defense,Hyderabad,2007,Part of Tata Sons
336,Tata Business Support Services,Industrials,Business support services,Hyderabad,2004,Part of Tata Sons
337,Tata Chemicals,Basic materials,Commodity chemicals,Mumbai,1939,Part of Tata Sons
338,Tata Communications,Telecommunications,Fixed line telecommunications,Mumbai,1986,Part of Tata Sons
339,Tata Consultancy Services,Industrials,Business support services,Mumbai,1968,Part of Tata Sons
340,Tata Global Beverages,Consumer goods,Beverages,Kolkata,1964,Part of Tata Sons
341,Tata Group,Conglomerate,-,Mumbai,1868,Part of Tata Sons
342,Tata Interactive Systems,Industrials,Business support services,Mumbai and Kolkata,1990,Part of Tata Sons
343,Tata Motors,Consumer goods,Automobiles,Mumbai,1945,Part of Tata Sons
344,Tata Power,Utilities,Conventional electricity,Mumbai,1910,Part of Tata Sons
345,Tata Sky,Telecommunications,Mobile telecommunications,Mumbai,2004,Part of Tata Sons
346,Tata Steel,Basic materials,Iron & steel,Mumbai,1907,Part of Tata Sons
347,Tata Steel BSL,Basic materials,Iron & steel,New Delhi,1987,Steel
348,Tata Technologies,Industrials,Business support services,Pune,1989,Part of Tata Sons
349,Tech Mahindra,Industrials,Business support services,Pune,1986,"Consulting, BPO"
350,Terumo Penpol,Health care,Medical equipment,Thiruvananthapuram,1987,"Blood bag manufacturer, medical electronics, subsidiary of Terumo (Japan)"
351,The Himalaya Drug Company,Health care,Pharmaceuticals,Bengaluru,1930,Alternative medicines
352,The Hindu,Consumer services,Publishing,Chennai,1878,Newspaper
353,The Times Group,Consumer services,Broadcasting & entertainment,Mumbai,1838,Media conglomerate
354,Thermax,Industrials,Electrical components & equipment,Pune,1980,Energy engineering
355,Titagarh Wagons,Industrials,Commercial rail vehicles,Bengaluru,1953,"State-owned railway wagon, mining equipment manufacturing"
356,Titan Company,Consumer goods,Clothing & accessories,Bengaluru,1984,"Watches, Luxury products"
357,Torrent Group,Conglomerate,-,Ahmedabad,1959,"Health care, industrials"
358,Tractors and Farm Equipment Limited,Industrials,Agricultural & farm machinery,Chennai,1960,Tractors
359,TradeIndia,Technology,Internet,New Delhi,1996,Portal
360,Travancore Cochin Chemicals,Basic materials,Commodity chemicals,Kochi,1961,Chemicals
361,Travancore Titanium Products,Basic materials,Specialty chemicals,Thiruvananthapuram,1946,Titanium dioxide
362,TTK Prestige,Consumer goods,Durable household products,Chennai,1955,Cookware
363,T-Series,Consumer services,Broadcasting & entertainment,Noida,1983,Record and film producer
364,TVS Motor Company,Consumer goods,Automobiles,Chennai,1978,Motorcycles
365,UCO Bank,Financials,Banks,Kolkata,1943,State bank
366,UltraTech Cement,Industrials,Building materials & fixtures,Mumbai,1983,Cement
367,Union Bank of India,Financials,Banks,Mumbai,1919,State bank
368,Unitech Group,Financials,Real estate holding & development,New Delhi,1972,Real estate development
369,United Breweries Group,Conglomerate,-,Bengaluru,1857,"Food & beverage, engineering, financials"
370,VA Tech Wabag,Utilities,Water,Chennai,1924,Water treatment
371,Vadilal,Conglomerate,-,Ahmedabad,1907,"Chemicals, food & beverage, financials"
372,Vedanta Limited,Basic materials,General mining,New Delhi,1979,"Mining, part of Vedanta Resources (UK)"
373,V-Guard Industries,Consumer goods,Consumer electronics,Kochi,1977,Electrical goods
374,Vicco Group,Health care,Pharmaceuticals,Mumbai,1952,Alternative medicines
375,Videocon,Conglomerate,-,Mumbai,1979,"Industrials, consumer goods, oil & gas"
376,Vijaya Bank,Financials,Banks,Bengaluru,1931,State bank
377,VIP Industries,Consumer goods,Recreational products,Mumbai,1971,Luggage
378,Visakhapatnam Steel Plant,Basic materials,Iron & steel,Visakhapatnam,1971,Steel
379,Voltas,Consumer goods,Consumer electronics,Mumbai,1954,Home appliances
380,Voonik,Consumer services,Broadline retailers,Bengaluru,2013,Online marketplace
381,VST Industries,Consumer goods,Tobacco,Hyderabad,1930,Tobacco
382,Wadia Group,Conglomerate,-,Mumbai,1736,"Chemicals, industrials"
383,Walchandnagar Industries,Conglomerate,-,Mumbai,1908,"Defense, energy, transportation"
384,Welspun Corp,Industrials,General industry,Mumbai,1995,"Pipes, part of Welspun Group"
385,Welspun Group,Conglomerate,-,Mumbai,1985,"Steel, energy, oil & gas"
386,Welspun India,Basic materials,Textile products,Mumbai,1985,"Clothing, textiles, part of Welspun Group"
387,West Bengal Electronics Industry Development Corporation (WEBEL),Industrials,Electrical components & equipment,Kolkata,1974,"Capacitors, driven equipment, picture tubes, telephone exchanges"
388,West Bengal Power Development Corporation,Utilities,Conventional electricity,Kolkata,1985,Power generation
389,West Bengal State Coop Bank,Financials,Banks,Kolkata,1918,State bank
390,West Bengal State Electricity Distribution Company,Utilities,Conventional electricity,Kolkata,2007,State utility
391,West Bengal State Electricity Transmission Company,Utilities,Conventional electricity,Kolkata,2007,State utility
392,Wipro,Industrials,Business support services,Bengaluru,1945,"Consulting, BPO"
393,XOLO,Consumer goods,Consumer electronics,Noida,2012,Mobile handsets
394,Yatra,Consumer services,Travel & tourism,Gurugram,2006,Travel agency
395,Yebhi,Consumer services,Broadline retailers,Gurugram,2009,Online retailer
396,Yepme,Consumer services,Broadline retailers,Gurugram,2011,Online retailer
397,Yes Bank,Financials,Banks,Mumbai,2004,Private bank
398,Zandu Realty,Health care,Pharmaceuticals,Mumbai,1910,"Alternative medicines, part of Emami"
399,Zee Entertainment Enterprises,Consumer services,Broadcasting & entertainment,Mumbai,1992,Broadcaster
400,Zee News,Consumer services,Broadcasting & entertainment,Mumbai,1999,News channel
401,Zensar Technologies,Technology,Software,Pune,1991,IT services and software
402,Zoho Corporation,Technology,Software,Chennai,1996,Business management software
403,Zomato,Technology,Internet,Gurugram,2008,Search
